| Species | Chemical Name |  Freq-GHz | Freq Err | Meas Freq-GHz | Meas Freq Err |      Resolved QNs | CDMS/JPL Intensity | S<sub>ij</sub> | Log<sub>10</sub> (A<sub>ij</sub>) | Lovas/AST Intensity | E_L (cm^-1) |   E_L (K) | E_U (cm^-1) |   E_U (K) | Linelist |
|  NH2CHO |     Formamide | 233.52775 |  1.6e-05 |            -- |            -- |   11(6,6)-10(6,5) |                0.0 |         7.7275 |                          -3.04084 |              35.0fb |     113.458 | 163.23981 |   121.24765 | 174.44731 |    SLAIM |
|  NH2CHO |     Formamide | 233.52775 |  1.6e-05 |            -- |            -- |   11(6,5)-10(6,4) |                0.0 |         7.7275 |                          -3.04084 |              35.0fb |     113.458 | 163.23981 |   121.24765 | 174.44731 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |      233.5278 |         1e-05 |   11(6,6)-10(6,5) |            -2.6682 |            0.0 |                          -3.18626 |                  -- |    113.4582 |  163.2421 |   121.24785 | 174.44974 |     CDMS |
|  NH2CHO |     Formamide |        -- |       -- |      233.5278 |         1e-05 |   11(6,5)-10(6,4) |            -2.6682 |            0.0 |                          -3.18626 |                  -- |    113.4582 |  163.2421 |   121.24785 | 174.44974 |     CDMS |
|  NH2CHO |     Formamide |  233.5944 |  1.4e-05 |            -- |            -- |   11(5,7)-10(5,6) |                0.0 |         8.7275 |                          -3.03744 |              40.1fb |      90.704 | 130.50207 |    98.49587 | 141.71277 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |      233.5945 |         1e-05 |   11(5,7)-10(5,6) |            -2.5677 |            0.0 |                          -3.13303 |                  -- |     90.7038 | 130.50338 |    98.49567 | 141.71423 |     CDMS |
|  NH2CHO |     Formamide |        -- |       -- |      233.5945 |         1e-05 |   11(5,6)-10(5,5) |            -2.5677 |            0.0 |                          -3.13303 |                  -- |     90.7038 | 130.50338 |    98.49567 | 141.71423 |     CDMS |
|  NH2CHO |     Formamide | 233.59454 |  1.4e-05 |            -- |            -- |   11(5,6)-10(5,5) |                0.0 |         8.7275 |                          -3.03743 |                   b |      90.704 | 130.50207 |    98.49587 | 141.71278 |    SLAIM |
|  NH2CHO |     Formamide |  233.7347 |  1.2e-05 |            -- |            -- |   11(4,8)-10(4,7) |                0.0 |         9.5456 |                          -3.03463 |               26.5f |      72.085 | 103.71364 |    79.88155 | 114.93107 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     233.73472 |         1e-05 |   11(4,8)-10(4,7) |            -2.4895 |            0.0 |                          -3.09334 |                  -- |     72.0849 | 103.71477 |    79.88145 | 114.93234 |     CDMS |
|  NH2CHO |     Formamide |  233.7456 |  1.2e-05 |            -- |            -- |   11(4,7)-10(4,6) |                0.0 |         9.5456 |                          -3.03457 |               20.2f |      72.085 | 103.71364 |    79.88191 | 114.93159 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     233.74561 |         1e-05 |   11(4,7)-10(4,6) |            -2.4895 |            0.0 |                          -3.09332 |                  -- |     72.0852 |  103.7152 |    79.88211 | 114.93329 |     CDMS |
|  NH2CHO |     Formamide | 233.89655 |  1.2e-05 |            -- |            -- |   11(3,9)-10(3,8) |                0.0 |        10.1814 |                          -3.03238 |               22.9f |      57.608 |  82.88458 |    65.40995 |  94.10979 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |     233.89658 |         1e-05 |   11(3,9)-10(3,8) |            -2.4308 |            0.0 |                          -3.06449 |                  -- |      57.608 |   82.8856 |    65.40995 |  94.11094 |     CDMS |
|  NH2CHO |     Formamide | 234.31548 |  1.2e-05 |            -- |            -- |   11(3,8)-10(3,7) |                0.0 |        10.1814 |                          -3.03005 |               17.1f |      57.627 |  82.91192 |    65.44292 |  94.15723 |    SLAIM |
|  NH2CHO |     Formamide |        -- |       -- |      234.3155 |         1e-05 |   11(3,8)-10(3,7) |            -2.4293 |            0.0 |                          -3.06216 |                  -- |     57.6268 |  82.91265 |    65.44272 |  94.15809 |     CDMS |
